r,chord,beta_deg
0.211940703974,-0.195,-0.0
0.219688749936,-0.195,-0.0
0.235125874557,-0.149970397419,-0.0
0.258134591992,-0.09,-0.0
0.28853979201,-0.1008250875139999,1.183265837056348
0.326110072682,-0.130952559775,4.476431701853688
0.370559501483,-0.166596396055,8.372578843276887
0.421549791422,-0.207485325237,12.84205522899975
0.478692875603,-0.238192391685,16.164723143935284
0.541553860654,-0.230752097305,15.19606956205772
0.60965433652,-0.218488100823,13.598402224038992
0.682476017461,-0.206006918921,11.963652247700848
0.759464686512,-0.195514923215,10.556643041848165
0.840034413416,-0.185110669474,9.173895792673061
0.923572013902,-0.175562089205,8.046066880763897
1.009441716388,-0.167433200299,7.256329442784786
1.096990000589,-0.160592498397,6.585883878795693
1.185550571198,-0.153672700147,5.907686216235777
1.274449428801,-0.146726469393,5.226897948782926
1.363009999412,-0.14114700824,4.715016275866977
1.450558283611,-0.135466779357,4.128979400514519
1.536427986098,-0.130646356161,3.7537548778912497
1.619965586583,-0.126016472919,3.4046883518453206
1.700535313487,-0.121551077382,3.0680232511896257
1.777523982538,-0.11727279862,2.7078352750346015
1.850345663479,-0.112992363874,2.3590408094033233
1.918446139346,-0.108829392278,2.0326478076536163
1.981307124396,-0.104846775751,1.7230591332630518
2.038450208578,-0.101229841187,1.4285627698332422
2.089440498517,-0.098180593253,1.1543043968912667
2.133889927319,-0.094959273367,0.896021541559014
2.171460207989,-0.088963931168,0.6383179482192163
2.201865408009,-0.073944629235,0.3973878691412968
2.224874125444,-0.050911463413,0.2069189602977979
2.240311250063,-0.028157626526,0.07978968343129131
2.248059296027,-0.008748172727,0.0159822592030278
